CATEGORY,SIZE,PRICE,CONTENT RATING,TYPE,INSTALLS,RATING,Free,Paid,REVIEWS
Health And Fitness,6.8,0.0,Everyone,Free,5,4.7,1,0,2.0
Medical,7.3,0.0,Everyone,Free,100,4.7,1,0,19.0
Tools,3.6,0.0,Everyone,Free,100000,4.1,1,0,843.0
Tools,8.2,0.0,Everyone,Free,100000,4.4,1,0,1264.0
Tools,1.9,0.0,Everyone,Free,100000,3.8,1,0,3341.0
Communication,6.1,0.0,Everyone,Free,50000000,4.6,1,0,2265000.0
Tools,0.0,0.0,Everyone,Free,50000000,4.4,1,0,953790.0
Productivity,0.0,0.0,Everyone,Free,10000000,4.3,1,0,144876.0
Business,2.7,2.99,Everyone,Paid,10000,4.2,0,1,2359.0
Tools,1.8,0.0,Everyone,Free,5000000,4.4,1,0,166365.0
Personalization,17.0,0.0,Teen,Free,100000000,4.6,1,0,6701811.5
Personalization,0.2,4.99,Everyone,Paid,100000,4.7,0,1,23802.0
Personalization,1.1,0.0,Everyone,Free,100000,4.5,1,0,3989.0
Tools,0.0,0.0,Everyone,Free,100000000,4.6,1,0,3090703.5
Tools,0.1,0.0,Everyone,Free,10000,3.6,1,0,373.0
Tools,2.7,0.0,Everyone,Free,100000,4.2,1,0,1147.0
Tools,1.2,0.0,Everyone,Free,10000000,4.6,1,0,262076.0
Tools,5.8,0.0,Everyone,Free,1000000,4.6,1,0,85496.0
Communication,5.8,0.0,Everyone,Free,5000000,4.6,1,0,71740.0
Dating,40.0,0.0,Mature,Free,1000000,4.0,1,0,48845.0
Family,64.0,0.0,Everyone,Free,100,5.0,1,0,1.0
Family,25.0,0.0,Everyone,Free,10000,4.5,1,0,85.0
Family,49.0,0.0,Everyone,Free,100000,3.7,1,0,985.0
Family,41.0,2.99,Everyone,Paid,100000,4.1,0,1,3863.0
Family,16.0,0.0,Everyone,Free,1000,4.1,1,0,5.0
Finance,0.0,0.0,Everyone,Free,1000000,4.2,1,0,24656.5
News And Magazines,25.0,0.0,Teen,Free,10000000,4.0,1,0,293080.0
Game,71.0,0.0,Teen,Free,5000,3.6,1,0,33.0
Family,54.0,0.0,Everyone,Free,100,3.6,1,0,0.0
Family,94.0,0.0,Everyone,Free,50,5.0,1,0,15.0
Productivity,18.0,0.0,Teen,Free,50,5.0,1,0,0.0
Game,13.0,0.0,Teen,Free,5000000,4.4,1,0,144545.0
Game,13.0,0.0,Mature,Free,5000000,4.4,1,0,206602.0
Family,59.0,0.0,Everyone,Free,10000000,4.3,1,0,528831.0
Medical,2.2,0.0,Everyone,Free,10,4.3,1,0,5.0
Family,6.8,0.0,Everyone,Free,500,4.4,1,0,8.0
Family,2.9,0.0,Everyone,Free,10000,4.1,1,0,187.0
Family,22.0,0.0,Everyone,Free,500,4.1,1,0,7.0
Family,12.0,0.0,Teen,Free,500,4.6,1,0,7.0
Lifestyle,5.0,0.0,Everyone,Free,10000,4.2,1,0,251.0
Business,5.4,0.0,Everyone,Free,100,4.2,1,0,3.0
Productivity,5.8,0.0,Everyone,Free,500,4.2,1,0,0.0
Family,2.9,0.0,Teen,Free,10000,3.8,1,0,128.0
Social,3.3,0.0,Teen,Free,50000,4.3,1,0,64.0
Finance,35.0,0.0,Everyone,Free,10000,3.6,1,0,180.0
Lifestyle,5.6,0.0,Teen,Free,5000,3.8,1,0,85.0
Business,24.0,0.0,Everyone,Free,100,5.0,1,0,4.0
Lifestyle,1.2,0.0,Everyone,Free,100,5.0,1,0,2.0
Business,7.0,0.0,Everyone,Free,50000,4.3,1,0,236.0
Family,19.0,0.0,Everyone,Free,100000,4.0,1,0,4607.0
Business,0.0,0.0,Everyone,Free,1000,4.5,1,0,56.0
Personalization,3.9,0.0,Everyone,Free,10,4.5,1,0,1.0
Lifestyle,4.9,0.0,Everyone,Free,100000,3.8,1,0,2548.0
Business,14.0,0.0,Everyone,Free,1000,4.6,1,0,70.0
Game,12.0,0.0,Everyone,Free,100,5.0,1,0,5.0
Family,0.8,0.0,Everyone,Free,10000,4.1,1,0,78.0
Family,16.0,0.0,Everyone,Free,10,4.1,1,0,1.0
Tools,1.4,0.0,Everyone,Free,10000000,4.5,1,0,295430.0
Lifestyle,16.0,0.0,Mature,Free,1000000,4.5,1,0,8096.0
News And Magazines,3.4,0.0,Teen,Free,1000,3.7,1,0,7.0
Business,3.4,0.0,Everyone,Free,5,5.0,1,0,2.0
Productivity,14.0,0.0,Everyone,Free,1,5.0,1,0,0.0
Travel And Local,14.0,0.0,Everyone,Free,10000,4.3,1,0,15.0
Tools,1.7,0.0,Everyone,Free,100,4.3,1,0,0.0
Finance,18.0,0.0,Everyone,Free,1000,2.7,1,0,36.0
Finance,1.6,0.0,Everyone,Free,10,2.7,1,0,0.0
Productivity,9.1,0.0,Everyone,Free,10,2.7,1,0,0.0
Communication,8.1,0.0,Everyone,Free,500,2.7,1,0,3.0
Communication,8.1,0.0,Everyone,Free,1000,2.7,1,0,10.0
Game,61.0,0.0,Everyone,Free,10,4.2,1,0,4.0
Family,5.0,0.0,Everyone,Free,500000,4.6,1,0,167974.0
Tools,3.1,0.0,Everyone,Free,100,4.6,1,0,4.0
Family,30.0,0.0,Everyone,Free,1000,3.5,1,0,34.0
Personalization,38.0,0.0,Everyone,Free,10000,4.5,1,0,323.0
Tools,2.8,0.0,Everyone,Free,50000,4.3,1,0,297.0
Family,5.2,0.0,Everyone,Free,1000,2.3,1,0,10.0
Family,4.3,0.0,Everyone,Free,5000,4.3,1,0,219.0
Business,7.8,0.0,Everyone,Free,100,1.0,1,0,1.0
Auto And Vehicles,2.8,0.0,Everyone,Free,5,1.0,1,0,1.0
Tools,4.5,0.0,Everyone,Free,50,5.0,1,0,6.0
Personalization,41.0,0.0,Everyone,Free,10000,4.5,1,0,561.0
Auto And Vehicles,88.0,0.0,Everyone,Free,500,4.2,1,0,12.0
Business,8.3,0.0,Everyone,Free,100,4.2,1,0,5.0
Family,3.3,0.0,Everyone,Free,1000,5.0,1,0,43.0
Communication,53.0,0.0,Everyone,Free,5000,4.3,1,0,125.0
Communication,2.1,0.0,Everyone,Free,1000,3.8,1,0,52.0
Communication,3.7,0.0,Everyone,Free,1000,3.7,1,0,25.0
Family,0.0,0.0,Teen,Free,50000,3.7,1,0,433.0
Family,1.1,0.0,Everyone,Free,10000,4.3,1,0,99.0
Family,6.7,0.0,Everyone,Free,5000,4.8,1,0,33.0
Family,28.0,0.99,Everyone,Paid,10,4.8,0,1,7.0
Family,22.0,0.0,Everyone,Free,10000,3.9,1,0,337.0
Game,9.1,0.0,Teen,Free,500000,4.3,1,0,8668.0
Family,2.1,3.99,Everyone,Paid,100,2.4,0,1,7.0
Family,18.0,0.0,Everyone,Free,100,2.4,1,0,0.0
Tools,1.0,0.0,Everyone,Free,10000,4.1,1,0,41.0
Family,62.0,0.0,Everyone,Free,1000,4.3,1,0,7.0
Medical,36.0,0.0,Everyone,Free,10000,4.0,1,0,36.0
Family,29.0,0.0,Everyone,Free,500,5.0,1,0,3.0
Productivity,28.0,0.0,Everyone,Free,50,5.0,1,0,2.0
Medical,17.0,0.0,Everyone,Free,1000,5.0,1,0,5.0
Finance,8.4,0.0,Everyone,Free,50,5.0,1,0,1.0
Family,16.0,0.0,Everyone,Free,100,5.0,1,0,1.0
Family,8.3,0.0,Teen,Free,50000,3.8,1,0,271.0
Medical,4.0,0.0,Everyone,Free,5000,3.9,1,0,40.0
Medical,8.9,0.0,Everyone,Free,1000,4.4,1,0,7.0
Medical,9.3,0.0,Everyone,Free,5000,4.5,1,0,18.0
News And Magazines,4.3,0.0,Everyone,Free,1000,2.6,1,0,13.0
Medical,4.9,0.0,Everyone,Free,100,2.6,1,0,0.0
Medical,46.0,0.0,Everyone,Free,100,4.3,1,0,10.0
Family,5.1,0.0,Everyone,Free,1000,4.7,1,0,6.0
Medical,29.0,0.0,Everyone,Free,1000,4.2,1,0,6.0
Medical,20.0,0.0,Everyone,Free,5000,4.3,1,0,62.0
Medical,0.1,0.99,Everyone,Paid,50,4.3,0,1,3.0
Game,0.0,0.0,Everyone,Free,100000,4.8,1,0,8191.0
Family,7.8,0.0,Everyone,Free,1000,3.7,1,0,6.0
Game,1.6,4.49,Everyone,Paid,100,3.3,0,1,19.0
Family,11.0,0.0,Everyone,Free,10000,3.9,1,0,84.0
Productivity,37.0,0.0,Everyone,Free,50000,4.4,1,0,607.0
Finance,25.0,0.0,Everyone,Free,10000,4.0,1,0,253.0
Finance,25.0,0.0,Everyone,Free,10000,4.0,1,0,347.0
Finance,32.0,0.0,Teen,Free,100000,4.3,1,0,693.0
Game,26.0,0.99,Everyone,Paid,500,4.3,0,1,30.0
Business,4.4,0.0,Everyone,Free,5000,4.3,1,0,4.0
Business,5.9,0.0,Everyone,Free,10000,3.8,1,0,203.0
Business,4.1,0.0,Everyone,Free,1000,3.4,1,0,22.0
Family,8.3,0.0,Everyone,Free,10000,4.4,1,0,31.0
Business,20.0,0.0,Everyone,Free,100000,4.1,1,0,423.0
Business,3.8,0.0,Everyone,Free,10000,4.6,1,0,213.0
Family,26.0,0.0,Everyone,Free,100000,4.5,1,0,625.0
Family,26.0,0.0,Everyone,Free,100000,4.3,1,0,374.0
Personalization,3.0,0.0,Everyone,Free,10000,3.2,1,0,114.0
Business,8.6,0.0,Everyone,Free,10000,3.7,1,0,113.0
Tools,25.0,0.0,Everyone,Free,10000,4.0,1,0,114.0
Business,5.6,0.0,Teen,Free,100000,4.5,1,0,3972.0
Business,26.0,0.0,Everyone,Free,10000,4.3,1,0,34.0
Family,26.0,0.0,Everyone,Free,5000,4.0,1,0,13.0
Tools,25.0,0.0,Everyone,Free,10000,4.2,1,0,75.0
Business,4.6,0.0,Everyone,Free,100000,4.4,1,0,6997.0
Communication,6.0,0.99,Everyone,Paid,1000,2.3,0,1,42.0
Business,3.5,0.0,Everyone,Free,10000,4.7,1,0,68.0
Medical,10.0,0.0,Everyone,Free,500000,3.5,1,0,3707.0
Communication,1.5,0.0,Everyone,Free,500,3.5,1,0,2.0
Communication,0.5,1.49,Everyone,Paid,100,4.8,0,1,10.0
Communication,0.9,0.0,Everyone,Free,100,4.8,1,0,3.0
Business,0.5,0.0,Everyone,Free,1000,3.0,1,0,4.0
Family,22.0,0.0,Everyone,Free,50,3.0,1,0,3.0
Books And Reference,12.0,0.0,Everyone,Free,1000,3.3,1,0,15.0
Communication,0.3,2.49,Everyone,Paid,10,3.3,0,1,0.0
Family,13.0,0.0,Teen,Free,500000,4.5,1,0,16391.0
Entertainment,13.0,0.0,Teen,Free,500000,4.5,1,0,16372.0
Communication,0.8,0.99,Everyone,Paid,100,3.8,0,1,9.0
News And Magazines,6.1,0.0,Everyone,Free,50000,1.7,1,0,367.0
Travel And Local,57.0,0.0,Everyone,Free,100000,4.4,1,0,20313.0
Business,5.8,0.0,Everyone,Free,100,4.4,1,0,1.0
Business,68.0,0.0,Everyone,Free,10,4.4,1,0,0.0
Business,55.0,0.0,Everyone,Free,50,4.4,1,0,0.0
Video Players,6.9,0.0,Everyone,Free,500,4.4,1,0,2.0
Business,10.0,0.0,Everyone,Free,0,4.4,1,0,0.0
Business,55.0,0.0,Everyone,Free,500,3.9,1,0,10.0
Tools,2.5,0.0,Everyone,Free,500,3.9,1,0,12.0
Productivity,17.0,0.0,Teen,Free,50,3.9,1,0,1.0
Family,30.0,0.0,Everyone,Free,500,4.5,1,0,4.0
Family,11.0,0.0,Everyone,Free,1000,3.4,1,0,12.0
Family,12.0,0.0,Everyone,Free,100000,4.0,1,0,1419.0
Family,6.6,0.0,Everyone,Free,10000,4.3,1,0,49.0
Family,12.0,0.0,Everyone,Free,1000,3.9,1,0,13.0
Family,33.0,0.0,Everyone,Free,100,3.0,1,0,2.0
Lifestyle,32.0,0.0,Everyone,Free,100,3.0,1,0,1.0
Family,32.0,0.0,Everyone,Free,10,3.0,1,0,0.0
Family,94.0,0.0,Everyone,Free,1000,3.1,1,0,19.0
Lifestyle,11.0,0.0,Everyone,Free,500,3.1,1,0,6.0
Family,37.0,0.0,Everyone,Free,1000,4.2,1,0,18.0
Family,5.5,0.0,Everyone,Free,10000,3.1,1,0,47.0
Sports,5.3,0.0,Everyone,Free,100000,3.7,1,0,818.0
Family,12.0,0.0,Everyone,Free,1000,3.8,1,0,19.0
Shopping,5.8,0.0,Everyone,Free,500,4.7,1,0,3.0
Personalization,1.3,0.0,Everyone,Free,100,4.7,1,0,1.0
Productivity,0.0,0.0,Everyone,Free,1000000,4.5,1,0,75140.0
Books And Reference,3.3,0.0,Everyone,Free,10,4.5,1,0,0.0
Finance,10.0,0.0,Everyone,Free,10000,3.2,1,0,191.0
Maps And Navigation,0.7,0.0,Everyone,Free,1000,3.2,1,0,8.0
Personalization,13.0,0.0,Everyone,Free,5000000,4.3,1,0,60298.0
House And Home,40.0,0.0,Everyone,Free,1000000,4.3,1,0,37711.0
Tools,8.7,0.0,Everyone,Free,1000000,2.2,1,0,876.0
Tools,3.5,0.0,Everyone,Free,10,5.0,1,0,2.0
Books And Reference,11.0,5.99,Everyone,Paid,10,5.0,0,1,1.0
Books And Reference,13.0,5.99,Everyone,Paid,5,5.0,0,1,0.0
Books And Reference,12.0,5.49,Everyone,Paid,10,5.0,0,1,1.0
Books And Reference,9.3,5.99,Everyone,Paid,10,5.0,0,1,0.0
Books And Reference,17.0,5.99,Everyone,Paid,10,5.0,0,1,2.0
Tools,3.3,5.99,Everyone,Paid,1000,3.8,0,1,131.0
Books And Reference,1.4,0.0,Everyone,Free,5,5.0,1,0,2.0
Lifestyle,3.4,0.0,Everyone,Free,1000,4.5,1,0,11.0
Tools,15.0,0.0,Everyone,Free,100000000,4.5,1,0,12759739.0
Sports,3.5,0.0,Everyone,Free,100,4.5,1,0,19.0
Lifestyle,1.8,0.0,Everyone,Free,5000000,3.9,1,0,18961.0
News And Magazines,4.4,0.0,Everyone,Free,10000,4.0,1,0,677.0
Family,33.0,0.0,Everyone,Free,5000000,4.3,1,0,30668.0
Productivity,13.0,0.0,Everyone,Free,1000000,4.2,1,0,86172.0
Medical,9.9,2.99,Everyone,Paid,5000,3.4,0,1,77.0
Family,7.2,0.0,Everyone,Free,10000,3.4,1,0,44.0
Dating,6.2,6.99,Everyone,Paid,1000,2.6,0,1,57.0
Tools,0.0,0.0,Everyone,Free,100000000,4.3,1,0,40770.0
Tools,3.6,0.0,Everyone,Free,1000000,4.6,1,0,33509.0
Tools,5.8,0.0,Everyone,Free,100000,4.4,1,0,1236.0
Tools,7.5,0.0,Everyone,Free,10000000,4.6,1,0,25592.0
Productivity,0.0,0.0,Everyone,Free,50000000,4.7,1,0,287250.0
Tools,1.8,0.0,Everyone,Free,500,4.4,1,0,8.0
Tools,3.6,0.0,Everyone,Free,500,4.4,1,0,9.0
Productivity,2.4,0.0,Everyone,Free,100000,4.5,1,0,2965.0
Tools,0.0,0.0,Everyone,Free,10000000,4.6,1,0,679912.0
Tools,7.4,0.0,Everyone,Free,1000000,4.8,1,0,48211.0
Tools,14.0,0.0,Everyone,Free,1000000,4.8,1,0,36557.0
Productivity,1.9,0.0,Everyone,Free,5000000,4.2,1,0,60840.0
Productivity,5.7,0.0,Everyone,Free,1000000,4.0,1,0,8985.0
Productivity,2.5,0.0,Everyone,Free,1000,4.6,1,0,27.0
Travel And Local,5.4,0.0,Everyone,Free,10000,4.0,1,0,305.0
Productivity,7.0,4.99,Everyone,Paid,100,3.0,0,1,5.0
Business,3.2,0.0,Everyone,Free,5000000,4.6,1,0,188841.0
Communication,10.0,0.0,Everyone,Free,1000000,4.1,1,0,17529.0
Communication,4.2,0.0,Everyone,Free,1000,4.0,1,0,6.0
Communication,3.7,0.0,Everyone,Free,1000000,4.2,1,0,30350.0
Communication,11.0,0.0,Everyone,Free,5000000,4.4,1,0,93825.0
Communication,15.0,0.0,Everyone,Free,5000000,4.3,1,0,30209.0
Libraries And Demo,6.9,0.0,Everyone,Free,1000,4.7,1,0,48.0
Game,46.0,6.99,Teen,Paid,100000,4.2,0,1,13004.0
Game,57.0,0.0,Teen,Free,10000000,4.4,1,0,1604146.0
Game,10.0,0.0,Teen,Free,10000000,4.2,1,0,326042.0
Game,17.0,0.0,Teen,Free,5000000,4.4,1,0,248417.0
Communication,20.0,0.0,Everyone,Free,10000000,4.4,1,0,483673.5
Communication,14.0,0.0,Everyone,Free,5000000,4.6,1,0,93930.0
Communication,0.1,0.0,Everyone,Free,1000000,4.0,1,0,9498.0
Communication,14.0,0.0,Everyone,Free,5000000,4.2,1,0,83239.0
Communication,0.0,0.0,Everyone,Free,10000000,4.5,1,0,457283.0
Health And Fitness,0.0,0.0,Everyone,Free,5000000,4.6,1,0,111452.5
Health And Fitness,0.0,0.0,Everyone,Free,1000000,4.5,1,0,32606.0
Health And Fitness,11.0,0.0,Everyone,Free,1000000,4.7,1,0,50294.0
Health And Fitness,5.5,0.0,Everyone,Free,100000,4.0,1,0,3061.0
Health And Fitness,0.0,0.0,Everyone,Free,50000000,4.6,1,0,1873519.6666666667
Health And Fitness,19.0,0.0,Everyone,Free,1000000,4.5,1,0,27439.0
Health And Fitness,0.0,0.0,Everyone,Free,10000000,4.4,1,0,229212.0
Lifestyle,7.7,0.0,Teen,Free,500,4.4,1,0,10.0
Beauty,3.7,0.0,Everyone,Free,500,4.4,1,0,0.0
Shopping,9.5,0.0,Teen,Free,50000,4.7,1,0,221.0
Productivity,0.0,1.99,Everyone,Paid,500000,4.4,0,1,26358.0
Productivity,0.0,0.0,Everyone,Free,100000000,4.6,1,0,1502622.0
Family,11.0,0.0,Everyone,Free,50000,4.4,1,0,761.0
Photography,0.0,3.95,Everyone,Paid,100000,3.8,0,1,16318.5
Photography,5.6,0.0,Everyone,Free,10000000,4.0,1,0,130072.0
Photography,0.0,0.0,Everyone,Free,10000000,4.3,1,0,244336.5
Photography,13.0,0.0,Everyone,Free,1000000,4.1,1,0,7479.0
Photography,2.5,0.0,Everyone,Free,100000,4.0,1,0,2480.0
Photography,6.1,0.0,Everyone,Free,5000000,4.0,1,0,88860.0
Photography,9.5,0.0,Everyone,Free,10000000,4.2,1,0,240475.0
Photography,0.0,0.0,Everyone,Free,10000000,4.4,1,0,221868.0
Photography,51.0,0.0,Everyone,Free,100000000,4.3,1,0,4865110.666666667
Photography,18.0,0.0,Everyone,Free,1000000,4.0,1,0,29707.0
Photography,5.7,0.0,Everyone,Free,10000000,4.2,1,0,140917.0
Photography,5.7,2.99,Everyone,Paid,500000,4.6,0,1,28107.0
Health And Fitness,19.0,0.0,Everyone,Free,50000,3.5,1,0,293.0
Travel And Local,67.0,5.99,Everyone,Paid,10000,4.2,0,1,238.0
Game,48.0,0.0,Everyone,Free,500000,3.3,1,0,5290.0
Travel And Local,6.5,0.0,Everyone,Free,1000,3.7,1,0,19.0
Travel And Local,22.0,0.0,Everyone,Free,10000,3.9,1,0,58.0
Family,38.0,0.0,Everyone,Free,10000000,4.1,1,0,155649.0
Game,19.0,0.0,Everyone,Free,10000000,4.1,1,0,349503.0
Family,14.0,0.0,Teen,Free,1000000,4.3,1,0,45370.0
Family,20.0,0.0,Everyone,Free,10000000,4.4,1,0,42145.0
Game,20.0,0.0,Everyone,Free,10000000,4.4,1,0,42145.0
Photography,0.0,0.0,Everyone,Free,100000000,4.4,1,0,3368666.6666666665
Game,78.0,0.0,Everyone,Free,50000000,4.3,1,0,1300554.5
Game,74.0,0.0,Everyone,Free,500000000,4.4,1,0,22428759.25
Family,74.0,0.0,Everyone,Free,500000000,4.4,1,0,22419455.0
Game,67.0,0.0,Everyone,Free,100000000,4.4,1,0,6198846.0
Family,48.0,0.0,Everyone,Free,1000000,4.5,1,0,11716.0
Family,23.0,0.0,Everyone,Free,1000000,4.7,1,0,12948.0
Family,15.0,0.0,Everyone,Free,1000000,4.5,1,0,11436.0
Photography,26.0,0.0,Everyone,Free,10000000,4.4,1,0,53421.0
Lifestyle,35.0,0.0,Everyone,Free,100000,2.1,1,0,2390.0
Photography,6.8,0.0,Everyone,Free,1000000,3.5,1,0,12204.0
Art And Design,24.0,0.0,Everyone,Free,10000000,4.7,1,0,174531.0
Family,9.4,0.0,Teen,Free,1000,4.9,1,0,36.0
Education,0.0,0.0,Everyone,Free,1000000,4.5,1,0,42828.0
Finance,4.1,0.0,Everyone,Free,100,4.5,1,0,1.0
Finance,79.0,0.0,Everyone,Free,10000000,4.6,1,0,510396.5
News And Magazines,3.9,0.0,Everyone,Free,10,4.6,1,0,0.0
Finance,0.0,0.0,Everyone,Free,1000000,4.3,1,0,20672.0
Finance,2.9,0.0,Everyone,Free,100,4.3,1,0,0.0
Game,100.0,0.0,Everyone,Free,10000,3.6,1,0,151.0
Family,44.0,0.0,Everyone,Free,10000,3.8,1,0,174.0
Game,57.0,0.0,Everyone,Free,1000000,4.4,1,0,19816.0
Family,2.2,1.49,Everyone,Paid,10,4.4,0,1,0.0
Tools,1.3,0.0,Everyone,Free,10000,4.2,1,0,184.0
Family,71.0,0.0,Everyone,Free,50000,4.2,1,0,106.0
Family,40.0,0.0,Everyone,Free,5000000,4.4,1,0,187892.0
Family,34.0,0.0,Everyone,Free,100000,3.2,1,0,513.0
Game,47.0,0.0,Everyone,Free,1000000,4.3,1,0,54221.0
Family,48.0,0.0,Everyone,Free,100000,4.4,1,0,131.0
Auto And Vehicles,9.0,0.0,Everyone,Free,1000,2.6,1,0,5.0
Auto And Vehicles,0.0,0.0,Everyone,Free,1000000,4.4,1,0,21777.0
Tools,17.0,0.0,Everyone,Free,10000000,4.4,1,0,117850.0
Family,23.0,2.99,Teen,Paid,1000000,4.3,0,1,129603.0
Family,28.0,0.0,Teen,Free,10000000,4.3,1,0,920571.0
Libraries And Demo,50.0,0.0,Everyone,Free,10000000,4.2,1,0,130279.5
Personalization,10.0,0.0,Mature,Free,500,4.5,1,0,2.0
Dating,3.4,0.0,Everyone,Free,500,4.4,1,0,28.0
Game,7.4,0.0,Everyone,Free,10000,3.1,1,0,50.0
Art And Design,3.7,0.0,Everyone,Free,50000,4.8,1,0,253.0
Medical,6.4,0.0,Everyone,Free,100000,4.2,1,0,4559.0
Medical,6.5,12.99,Everyone,Paid,100,4.4,0,1,8.0
Medical,20.0,0.0,Teen,Free,1000,4.2,1,0,19.0
Family,36.0,0.0,Everyone,Free,100000,4.4,1,0,19207.0
Medical,8.3,0.0,Everyone,Free,100000,4.5,1,0,3320.0
Medical,10.0,5.99,Everyone,Paid,100,4.5,0,1,24.0
Medical,82.0,0.0,Everyone,Free,10000,4.5,1,0,67.0
Game,23.0,0.0,Teen,Free,10000,4.7,1,0,325.0
Medical,0.0,0.0,Everyone,Free,1000000,4.4,1,0,27524.0
Productivity,5.2,2.99,Everyone,Paid,10,4.4,0,1,0.0
Game,17.0,0.0,Teen,Free,1000000,4.2,1,0,62636.0
Shopping,0.0,0.0,Teen,Free,10000000,4.3,1,0,125783.0
Communication,0.0,0.0,Everyone,Free,100,4.3,1,0,0.0
Tools,7.8,0.0,Everyone,Free,100000,2.5,1,0,362.0
Family,31.0,12.99,Everyone,Paid,10000,4.6,0,1,5969.0
Game,89.0,0.0,Everyone,Free,1000000,4.3,1,0,20691.0
Education,49.0,0.0,Everyone,Free,1000000,4.4,1,0,1090.0
Family,77.0,0.0,Everyone,Free,10000000,4.5,1,0,58795.0
Family,0.0,0.0,Teen,Free,10000000,4.0,1,0,119173.0
Video Players,0.0,0.0,Teen,Free,10000000,4.0,1,0,119202.0
Family,38.0,0.0,Everyone,Free,1000000,4.7,1,0,21979.0
Family,72.0,0.0,Teen,Free,5000000,4.1,1,0,137674.0
Game,38.0,0.0,Teen,Free,5000000,4.4,1,0,165656.0
Health And Fitness,6.3,0.0,Everyone,Free,500,4.7,1,0,12.0
Finance,8.8,0.0,Everyone,Free,500,3.4,1,0,5.0
Family,68.0,0.0,Teen,Free,500000,4.3,1,0,14604.0
Finance,15.0,0.0,Everyone,Free,10000000,4.0,1,0,34428.0
Game,85.0,0.0,Everyone,Free,10000000,4.8,1,0,549720.0
Travel And Local,45.0,0.0,Everyone,Free,10000,4.3,1,0,201.0
Game,0.0,0.0,Teen,Free,1000000,4.5,1,0,30515.0
Video Players,2.5,0.0,Everyone,Free,10000,3.3,1,0,1261.0
Family,24.0,0.0,Teen,Free,5000000,4.6,1,0,584070.0
Family,24.0,0.0,Teen,Free,50000000,4.6,1,0,4578890.0
Game,24.0,0.0,Teen,Free,50000000,4.6,1,0,4578476.0
Family,24.0,0.0,Everyone,Free,1000000,4.7,1,0,376223.0
Family,34.0,0.0,Teen,Free,1000000,4.2,1,0,35172.0
Family,41.0,0.0,Everyone,Free,100000,4.2,1,0,1484.0
Medical,26.0,0.0,Everyone,Free,100000,3.7,1,0,529.0
Dating,11.0,0.0,Mature,Free,5000000,4.5,1,0,61637.0
Family,2.2,0.0,Teen,Free,500,4.0,1,0,3.0
Family,81.0,0.0,Teen,Free,5000000,4.6,1,0,137198.0
Family,8.4,0.0,Teen,Free,500,4.8,1,0,12.0
Travel And Local,50.0,0.0,Everyone,Free,1000000,3.3,1,0,4069.0
Books And Reference,0.0,0.0,Everyone,Free,500,5.0,1,0,23.0
Tools,20.0,0.0,Everyone,Free,1,5.0,1,0,0.0
Food And Drink,8.5,0.0,Everyone,Free,100000,4.2,1,0,3755.0
Communication,3.7,0.0,Everyone,Free,50,5.0,1,0,5.0
Tools,4.0,0.0,Everyone,Free,50,5.0,1,0,0.0
Tools,1.3,0.0,Everyone,Free,10000,3.3,1,0,16.0
Finance,12.0,0.0,Everyone,Free,5000,4.7,1,0,65.0
Medical,8.5,0.0,Everyone,Free,1000,4.4,1,0,38.0
Family,25.0,0.0,Mature,Free,10000,4.6,1,0,2683.0
Maps And Navigation,6.3,0.0,Everyone,Free,100000,4.6,1,0,2681.0
Libraries And Demo,99.0,0.0,Everyone,Free,50000,4.6,1,0,539.0
Sports,0.0,0.0,Everyone,Free,1000000,4.3,1,0,36490.0
Family,27.0,0.0,Everyone,Free,1000000,4.6,1,0,51973.0
Photography,6.4,0.0,Everyone,Free,5000000,3.8,1,0,28660.0
Finance,3.3,0.0,Everyone,Free,10000,4.4,1,0,188.0
Communication,12.0,0.0,Mature,Free,100000,3.7,1,0,916.0
Family,14.0,0.0,Everyone,Free,1000,4.6,1,0,34.0
Game,96.0,0.0,Mature,Free,1000000,4.5,1,0,73539.0
Maps And Navigation,25.0,0.0,Everyone,Free,50000,4.6,1,0,796.0
Productivity,7.1,0.0,Everyone,Free,1000,4.7,1,0,10.0
Lifestyle,28.0,0.0,Everyone,Free,5000000,4.4,1,0,39364.0
Finance,32.0,0.0,Everyone,Free,10000000,4.6,1,0,1374549.0
Dating,4.0,0.0,Everyone,Free,5000,3.5,1,0,69.0
Dating,3.8,0.0,Mature,Free,500,3.5,1,0,4.0
Social,0.0,0.0,Mature,Free,100000,3.4,1,0,622.0
Dating,4.9,0.0,Mature,Free,100,4.7,1,0,6.0
Dating,9.3,0.0,Mature,Free,5000,4.7,1,0,8.0
Dating,0.0,0.0,Mature,Free,10000000,4.3,1,0,135419.0
Family,2.8,0.0,Everyone,Free,1000,3.2,1,0,32.0
Family,1.4,0.0,Everyone,Free,100000,3.3,1,0,1407.0
Family,25.0,0.0,Teen,Free,100000,3.8,1,0,3597.0
Dating,20.0,0.0,Mature,Free,5000000,4.2,1,0,63986.0
Family,22.0,0.0,Everyone,Free,1000,4.2,1,0,9.0
Dating,6.1,0.0,Mature,Free,500000,4.2,1,0,2506.0
Travel And Local,24.0,0.0,Everyone,Free,5000000,4.2,1,0,42546.0
Travel And Local,0.0,0.0,Everyone,Free,1000000,4.5,1,0,7153.0
Travel And Local,0.0,0.0,Everyone,Free,1000000,4.4,1,0,6925.0
Travel And Local,19.0,0.0,Everyone,Free,5000000,4.4,1,0,47778.5
